tanggal,jumlah_meninggal.value,jumlah_sembuh.value,jumlah_positif.value,jumlah_dirawat.value,jumlah_positif_kum.value,jumlah_sembuh_kum.value,jumlah_meninggal_kum.value,jumlah_dirawat_kum.value
2020-03-02,0,0,2,2,2,0,0,2
2020-03-03,0,0,0,0,2,0,0,2
2020-03-04,0,0,0,0,2,0,0,2
2020-03-05,0,0,0,0,2,0,0,2
2020-03-06,0,0,2,2,4,0,0,4
2020-03-07,0,0,0,0,4,0,0,4
2020-03-08,0,0,2,2,6,0,0,6
2020-03-09,0,0,13,13,19,0,0,19
2020-03-10,0,2,8,6,27,2,0,25
2020-03-11,1,0,7,6,34,2,1,31
2020-03-12,0,0,0,0,34,2,1,31
2020-03-13,3,0,35,32,69,2,4,63
2020-03-14,1,6,27,20,96,8,5,83
2020-03-15,0,0,21,21,117,8,5,104
2020-03-16,0,0,17,17,134,8,5,121
2020-03-17,0,1,38,37,172,9,5,158
2020-03-18,14,2,55,39,227,11,19,197
2020-03-19,6,4,82,72,309,15,25,269
2020-03-20,7,2,60,51,369,17,32,320
2020-03-21,6,3,81,72,450,20,38,392
2020-03-22,10,9,64,45,514,29,48,437
2020-03-23,1,1,65,63,579,30,49,500
2020-03-24,6,0,106,100,685,30,55,600
2020-03-25,3,1,105,101,790,31,58,701
2020-03-26,20,4,103,79,893,35,78,780
2020-03-27,9,11,153,133,1046,46,87,913
2020-03-28,15,13,109,81,1155,59,102,994
2020-03-29,12,5,130,113,1285,64,114,1107
2020-03-30,8,11,129,110,1414,75,122,1217
2020-03-31,14,6,114,94,1528,81,136,1311
2020-04-01,21,22,149,106,1677,103,157,1417
2020-04-02,13,9,113,91,1790,112,170,1508
2020-04-03,11,22,196,163,1986,134,181,1671
2020-04-04,10,16,106,80,2092,150,191,1751
2020-04-05,7,14,181,160,2273,164,198,1911
2020-04-06,11,28,218,179,2491,192,209,2090
2020-04-07,12,12,247,223,2738,204,221,2313
2020-04-08,19,18,218,181,2956,222,240,2494
2020-04-09,40,30,337,267,3293,252,280,2761
2020-04-10,26,30,219,163,3512,282,306,2924
2020-04-11,21,4,330,305,3842,286,327,3229
2020-04-12,46,73,399,280,4241,359,373,3509
2020-04-13,26,21,316,269,4557,380,399,3778
2020-04-14,60,46,282,176,4839,426,459,3954
2020-04-15,10,20,297,267,5136,446,469,4221
2020-04-16,27,102,380,251,5516,548,496,4472
2020-04-17,24,59,407,324,5923,607,520,4796
2020-04-18,15,24,325,286,6248,631,535,5082
2020-04-19,47,55,327,225,6575,686,582,5307
